ISBN,rating_count,avg_rating,popularity_score,Book-Title,Book-Author,Year-Of-Publication
0385504209,276,8.565217391304348,48.1709325529959,The Da Vinci Code,Dan Brown,2003.0
0316666343,337,8.246290801186944,48.01852980281101,The Lovely Bones: A Novel,Alice Sebold,2002.0
059035342X,184,8.994565217391305,46.95483092665558,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999.0
043935806X,158,9.056962025316455,45.90887286947564,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003.0
0679781587,179,8.636871508379889,44.85090106969981,,,
0142001740,179,8.581005586592179,44.560791748421025,The Secret Life of Bees,Sue Monk Kidd,2003.0
0446310786,136,9.051470588235293,44.53306264481192,To Kill a Mockingbird,Harper Lee,1988.0
0312195516,196,8.38265306122449,44.28726390977814,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0
0439139597,105,9.295238095238096,43.34777672241312,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000.0
0439136350,110,9.2,43.32767785207347,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999.0
0446672211,162,8.296296296296296,42.259260925211656,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998.0
0439064872,116,8.862068965517242,42.20271383596633,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000.0
0439064864,106,8.962264150943396,41.87912634659255,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999.0
0671027360,157,8.222929936305732,41.629364252470154,Angels &amp; Demons,Dan Brown,2001.0
0060928336,167,8.10179640718563,41.513312958877904,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997.0
0385484518,115,8.695652173913043,41.33556687918578,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997.0
0590353403,93,9.010752688172044,40.938505672497456,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998.0
0345342968,101,8.772277227722773,40.571543688810536,Fahrenheit 451,RAY BRADBURY,1987.0
0156027321,139,8.201438848920864,40.528578142263356,Life of Pi,Yann Martel,2003.0
0439136369,87,9.011494252873563,40.347494971849585,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001.0
